rated,turns,increment_code,white_rating,black_rating,first_move,second_move,opening_ply
TRUE,28,7+2,1289,2108,e4,e5,9
FALSE,101,7+2,1431,1289,e4,e5,6
FALSE,15,7+2,1806,1289,e4,e5,7
FALSE,42,7+2,1289,1311,e4,e5,5
FALSE,118,7+2,1431,1289,e3,e5,3
FALSE,34,7+2,1289,1484,e4,e5,6
FALSE,60,7+2,1289,1810,e4,c5,5
FALSE,66,7+2,1806,1289,e4,e5,5
FALSE,21,5+8,1289,1500,e4,e5,5
TRUE,73,15+1,1409,1297,e4,e5,8
TRUE,159,15+1,1280,1485,e4,e5,6
FALSE,74,15+0,1280,1211,e4,d5,4
FALSE,28,15+0,1211,1280,h4,e5,3
TRUE,112,10+0,1281,1765,e4,e5,6
TRUE,104,15+1,1288,1454,e4,e5,4
TRUE,40,15+1,1560,1270,d4,d5,5
TRUE,44,15+1,1274,1534,e4,e5,4
TRUE,150,15+1,1259,1663,e4,e5,6
TRUE,60,10+0,1614,1238,d4,d5,5
TRUE,37,10+0,1221,1417,e4,e6,11
TRUE,88,10+0,1222,1732,e4,c5,7
TRUE,113,10+0,1232,1234,e4,e5,7
TRUE,55,20+5,1240,1219,e4,e5,8
TRUE,135,10+0,1590,1600,c4,e5,5
TRUE,137,10+0,1568,1617,e4,e5,5
TRUE,97,10+0,1500,1358,e4,e5,6
FALSE,33,10+2,1384,1325,e4,d6,2
FALSE,29,30+0,1384,1265,Nf3,d5,3
FALSE,55,2+10,1384,1950,Nf3,c5,2
TRUE,91,20+10,1377,1249,e4,d5,4
TRUE,53,9+0,1375,1389,e4,e5,4
TRUE,49,10+2,1378,1361,e4,e5,5
TRUE,48,10+2,1261,1371,e4,e5,4
TRUE,20,10+9,1380,1429,e4,c5,4
TRUE,87,10+0,1369,1368,e4,e5,6
TRUE,11,10+0,1290,1371,e4,e5,9
TRUE,110,15+3,1372,1326,e4,a6,2
TRUE,24,6+7,1361,1383,e3,d5,1
TRUE,23,15+15,1217,1399,c4,e5,4
TRUE,81,15+30,1387,1447,e4,e5,5
FALSE,34,20+0,1474,1387,e4,d5,2
TRUE,103,15+2,1377,1351,Nf3,d6,4
TRUE,29,30+10,1389,1339,e4,e5,4
FALSE,22,30+15,1389,1400,e4,e5,4
FALSE,38,10+0,1849,1389,e4,e5,5
TRUE,46,8+0,1395,1378,e4,e5,9
TRUE,23,5+5,1370,1257,e4,e5,6
TRUE,31,10+3,1360,1332,e4,Nc6,5
FALSE,51,10+0,1311,1360,e4,e5,4
FALSE,87,20+0,1714,1360,e4,e5,6
TRUE,31,45+30,1354,1217,e4,e5,5
TRUE,38,15+15,1245,1346,d4,d5,5
FALSE,43,10+4,1346,1099,e4,e5,6
TRUE,105,9+2,1336,1287,Nf3,d5,4
FALSE,87,10+0,1580,1555,c4,d5,2
FALSE,36,10+0,1555,1580,e4,e6,6
TRUE,38,6+6,1649,1547,e4,e6,6
TRUE,110,8+0,1426,1527,e4,e6,3
TRUE,48,15+0,1557,1547,e4,e5,8
FALSE,95,5+8,1557,1607,d4,e6,5
FALSE,70,5+8,1607,1557,f4,e6,1
FALSE,42,10+0,1557,1632,e4,c5,7
TRUE,177,10+3,1535,1609,e4,e5,11
TRUE,114,10+2,1713,1558,g3,Nf6,2
TRUE,57,10+2,1497,1730,e4,b6,2
TRUE,57,7+3,1437,1552,e4,e5,5
FALSE,82,10+0,1516,1552,f4,Nf6,2
TRUE,29,7+3,1513,1456,e4,c5,5
TRUE,70,10+0,1355,1478,e4,e5,7
TRUE,97,10+0,1638,1614,e4,e5,6
TRUE,99,6+5,1613,1934,e4,c6,11
FALSE,74,10+0,1865,1613,d4,d5,5
TRUE,48,8+0,1776,1587,d4,d5,2
TRUE,77,15+0,1568,1593,e4,e6,6
TRUE,80,15+0,1605,1546,e4,d5,6
TRUE,35,8+0,1518,1709,e4,Nc6,5
TRUE,33,10+0,1728,1527,d4,d5,8
TRUE,87,10+0,1515,1379,e4,d5,4
TRUE,40,10+0,1538,1501,e4,g6,4
TRUE,54,10+0,1511,1516,d4,d5,4
TRUE,67,10+0,1464,1495,e4,e5,9
TRUE,21,10+0,1470,1475,e4,e5,4
TRUE,14,10+0,1490,1440,e4,e5,6
FALSE,71,15+15,1611,1974,Nf3,Nf,18
TRUE,72,10+0,1611,1945,d4,d5,8
TRUE,62,10+0,1584,1611,Nf3,Nf,5
TRUE,48,10+0,1942,1611,e3,d5,1
TRUE,6,10+2,1217,1611,e4,e5,6
TRUE,69,20+0,1611,2059,d4,d5,12
TRUE,72,15+15,1611,1478,Nf3,c5,4
TRUE,40,15+15,1486,1552,e4,e5,5
TRUE,29,15+15,1453,1496,e4,g6,2
TRUE,44,15+15,1340,1326,d4,b6,2
TRUE,59,10+0,1532,1500,e4,e6,3
TRUE,115,10+0,1560,1557,e4,e5,6
TRUE,70,10+0,1571,1577,f4,d5,2
TRUE,36,10+0,1580,1617,f4,Nf6,2
TRUE,83,10+0,1531,1593,e4,e5,7
TRUE,99,10+0,1449,1597,e4,e5,9
TRUE,43,10+0,1743,1604,e4,e5,6
TRUE,89,10+0,1604,1614,e4,e5,8
TRUE,96,10+0,1550,1605,d4,d5,3
FALSE,116,10+0,1630,1605,e4,e5,8
FALSE,78,15+0,1475,1605,g3,e5,1
FALSE,77,15+0,1605,1475,f4,g6,1
FALSE,70,15+0,1475,1605,e4,e5,3
FALSE,27,10+0,1570,1605,e4,e5,7
FALSE,102,10+0,1605,1500,f4,Nc6,1
FALSE,21,10+0,1500,1605,e4,e5,9
FALSE,33,10+0,1605,1500,f4,Nc6,1
FALSE,74,10+0,1513,1605,e4,e5,5
TRUE,65,25+5,1790,1874,b4,e5,1
TRUE,81,25+5,1864,1805,e4,c5,5
TRUE,45,25+5,1496,1861,d4,Nf6,3
TRUE,52,25+5,1851,1853,e4,e5,8
TRUE,51,10+0,1861,1863,Nc3,c6,4
TRUE,48,10+0,1618,1609,e4,e6,3
TRUE,20,10+0,1620,1607,e3,e5,1
TRUE,50,10+0,1621,1496,e4,c5,5
TRUE,98,10+0,1633,1581,e4,e5,5
TRUE,106,10+0,1623,1623,e4,e5,6
TRUE,19,10+0,1612,1614,e4,e5,5
TRUE,22,10+0,1605,1624,e4,e5,8
TRUE,114,10+0,1693,1621,d4,Nf6,4
TRUE,69,10+0,1631,1684,e4,c5,4
TRUE,34,10+0,1636,1619,e4,e5,8
TRUE,40,10+0,1613,1617,e4,e5,8
TRUE,108,10+0,1627,1495,e4,e5,6
TRUE,27,10+0,1480,1643,e4,e5,3
TRUE,63,10+0,1631,1652,e4,c5,5
TRUE,31,10+0,1687,1641,e4,e5,5
TRUE,71,10+0,1630,1638,e4,e5,6
TRUE,92,10+0,1414,1624,e4,e5,6
TRUE,47,10+0,1619,1419,e4,e5,7
TRUE,56,10+0,1629,1659,e4,e5,5
TRUE,48,10+0,1649,1639,e4,e5,3
TRUE,124,10+0,1677,1627,b4,e5,1
TRUE,49,10+0,1705,1636,e4,e5,8
TRUE,64,10+0,1647,1635,e4,c5,13
TRUE,29,10+0,1637,1627,e4,e5,7
TRUE,45,10+0,1626,1631,e4,e5,5
TRUE,96,10+0,1602,1615,e4,e5,6
TRUE,92,10+0,1634,1603,e4,e5,3
TRUE,40,10+0,1611,1591,e4,e5,9
TRUE,123,10+0,1579,1623,e4,e5,19
TRUE,129,10+0,1995,1581,Nf3,Nf,4
TRUE,120,10+0,1589,1569,d4,Nf6,9
TRUE,71,10+0,1570,1555,e4,e5,6
TRUE,97,10+0,1559,1557,e4,e6,3
TRUE,60,10+0,1546,1571,d4,Nf6,2
TRUE,57,10+0,1550,1567,e4,c5,6
TRUE,38,5+7,1560,1419,d4,c6,5
TRUE,111,8+0,1840,1564,e4,e5,8
TRUE,119,10+0,1660,1549,d4,Nf6,4
TRUE,33,10+0,1534,1678,e4,e5,5
TRUE,32,10+0,1789,1538,d4,Nf6,6
TRUE,96,15+0,1841,1921,e4,e5,8
TRUE,92,8+10,1926,1737,Nf3,b6,2
TRUE,64,8+2,1629,1887,e3,d5,3
TRUE,10,5+5,1860,1712,e4,e5,7
TRUE,85,20+8,1500,1568,Nf3,d5,4
TRUE,40,10+0,1780,2132,e4,c5,10
TRUE,58,10+0,966,1124,e4,d5,2
TRUE,26,15+15,884,951,b3,e5,2
TRUE,4,15+15,945,1070,e4,e5,3
TRUE,118,10+0,971,1149,d4,Nc6,3
TRUE,11,15+15,1238,985,e3,e5,1
TRUE,163,10+0,972,1247,c4,e5,2
TRUE,95,10+0,1107,961,d4,d6,4
TRUE,37,10+0,974,1129,d4,d5,3
TRUE,101,10+2,1203,970,e4,e5,3
TRUE,80,10+0,998,937,e4,e6,5
TRUE,78,10+0,1016,1126,e3,e5,1
TRUE,89,10+0,1025,1153,d4,e6,4
TRUE,42,10+0,1047,1151,d4,d5,4
TRUE,8,10+0,998,1016,e4,e5,6
TRUE,101,10+0,1127,1044,e4,e5,3
TRUE,65,10+0,1020,1200,d4,d5,3
TRUE,60,10+0,1069,1071,d4,d5,4
TRUE,71,10+0,1071,1068,d4,d5,3
TRUE,44,10+0,1115,1223,d4,d5,4
TRUE,20,10+0,1190,1213,d4,d5,4
TRUE,41,10+0,1337,1337,e4,e5,3
TRUE,40,10+0,1500,1500,e4,d5,2
TRUE,27,25+25,1500,1571,e4,e5,7
TRUE,59,15+10,1367,1866,e3,c5,1
TRUE,19,10+0,1590,1373,e4,b6,2
TRUE,50,10+0,1377,1667,g3,e5,1
TRUE,34,10+0,1558,1358,e4,e5,15
TRUE,15,5+8,1476,1367,e4,b6,2
TRUE,52,5+8,1376,1469,e3,e5,1
TRUE,65,5+8,1460,1386,e4,b6,2
TRUE,67,10+0,1372,1408,e4,e5,5
TRUE,31,5+5,1373,2148,e4,c5,4
FALSE,130,8+0,1500,1395,e4,e6,2
TRUE,125,8+0,1382,1414,e4,e6,5
TRUE,76,15+5,1320,1400,e4,e6,3
TRUE,121,15+5,1383,1330,d4,Nf6,3
FALSE,53,30+0,1383,1242,d4,d5,3
TRUE,116,16+0,1469,1357,e4,e6,9
FALSE,47,25+0,959,1357,h3,e5,4
FALSE,53,25+0,1357,959,d4,d5,3
FALSE,76,25+0,959,1357,h3,e5,4
TRUE,110,15+10,1588,1691,e4,e5,8
TRUE,67,15+3,1541,1586,e4,c5,9
TRUE,17,30+5,1517,1320,e4,e5,4
TRUE,39,25+15,1569,1569,b3,d5,2
TRUE,94,30+0,1563,1498,d4,d5,5
TRUE,37,10+10,1903,1512,d4,d5,8
TRUE,37,20+0,1612,1450,e4,c6,5
FALSE,34,15+15,1327,1450,e4,c6,3
FALSE,41,10+0,1245,1450,e4,c6,5
FALSE,30,15+7,1921,1451,e4,e5,4
TRUE,51,10+0,1462,1464,h3,e5,3
TRUE,79,10+0,1450,1486,e4,e5,6
TRUE,83,10+0,1439,1418,e4,e5,5
TRUE,14,8+8,1728,1500,e4,e5,6
TRUE,21,10+0,1547,1563,e4,Nf6,4
TRUE,47,10+0,1863,1567,e4,Nf6,2
TRUE,38,10+0,1559,1423,d4,e6,2
TRUE,34,10+0,1570,1611,d4,g6,7
TRUE,39,10+0,1562,1582,e4,Nf6,6
TRUE,43,5+9,1576,1386,d4,d5,3
TRUE,41,5+8,1353,1595,c4,c6,3
TRUE,49,16+7,1591,1326,d4,d5,3
TRUE,38,10+10,1560,1580,e4,Nf6,4
TRUE,70,5+5,1727,1574,e4,d5,4
TRUE,48,10+0,1579,1841,d4,e6,4
TRUE,50,10+0,1877,1558,e4,Nf6,11
TRUE,57,10+0,1536,1962,d4,Nf6,3
TRUE,148,10+0,1529,1763,d4,d5,3
TRUE,62,10+7,1590,1515,e4,d5,4
TRUE,29,10+0,1653,1522,d4,f5,2
TRUE,52,10+0,1675,1505,e4,d5,6
TRUE,26,10+0,1547,1491,e4,d5,6
TRUE,59,10+0,1507,1399,d4,e5,2
TRUE,2,10+0,1641,1502,e4,d5,2
TRUE,195,10+0,1496,1703,d4,Nf6,5
TRUE,56,10+0,1482,1484,e4,d5,4
TRUE,40,10+0,1486,1909,d4,g6,2
TRUE,31,10+0,1919,1488,c4,c6,2
TRUE,60,10+0,1488,2192,d4,Nf6,2
TRUE,45,10+0,1470,1684,d4,d5,3
TRUE,63,5+8,1465,1659,d4,f5,3
TRUE,17,10+0,1586,1473,Nf3,d5,5
TRUE,34,10+0,1548,1488,e4,Nf6,6
TRUE,36,10+0,1500,1501,d4,Nf6,2
TRUE,62,10+0,1509,1487,e4,Nf6,8
TRUE,46,7+5,1356,1491,e4,d5,2
TRUE,34,10+0,1495,1771,d4,Nf6,2
TRUE,38,5+5,1529,1639,e4,e6,3
TRUE,107,5+5,1631,1537,e4,e5,6
TRUE,42,5+5,1546,1621,e4,c5,6
TRUE,35,5+5,1568,1636,e4,e6,5
TRUE,122,5+5,1354,1631,e4,e6,5
TRUE,71,5+5,1626,1384,e4,c5,7
TRUE,42,5+5,1639,1813,e4,b6,6
TRUE,2,5+5,1646,1795,d4,d5,2
TRUE,11,5+5,1646,939,d4,d5,4
TRUE,54,5+5,1657,1678,e4,d6,8
TRUE,58,5+5,1667,1668,e4,g6,5
TRUE,42,5+5,1683,1599,e4,e5,4
TRUE,116,5+5,1596,1686,d4,g6,2
TRUE,74,5+5,1769,1659,c4,g6,2
TRUE,54,5+5,1668,1761,d4,e6,2
TRUE,85,5+5,1752,1677,c4,Nf6,2
TRUE,38,5+5,1688,1743,e4,c5,10
TRUE,41,5+5,1582,1704,e4,e6,3
TRUE,121,5+5,1693,1666,e4,c5,7
TRUE,30,5+5,1676,1680,e4,e6,3
TRUE,64,10+3,1142,1679,e3,d5,3
TRUE,15,10+3,1678,1148,e4,e5,10
TRUE,40,10+3,1154,1676,d3,c5,1
TRUE,128,10+3,1686,1098,e4,h6,2
TRUE,48,10+3,1102,1685,b4,e5,1
TRUE,51,10+3,1684,1107,e4,e6,4
TRUE,71,5+5,1493,1678,e4,e6,2
TRUE,60,5+5,1525,1693,d4,d5,3
TRUE,58,5+5,1709,1681,d4,e6,2
TRUE,60,5+5,1692,1699,f4,d5,2
TRUE,40,5+5,1688,1704,c4,g6,2
TRUE,29,5+5,1699,1497,c4,c6,2
TRUE,98,5+5,1703,1943,c4,Nf6,2
TRUE,71,5+5,1694,1692,e4,e6,6
TRUE,135,5+5,1696,1564,c4,g6,2
TRUE,34,5+5,1572,1688,e4,e6,5
TRUE,60,5+5,1392,1684,d4,d5,6
TRUE,47,5+5,1707,1696,c4,c5,3
TRUE,23,5+5,1684,1720,d4,d5,7
TRUE,78,5+5,1733,1672,c4,c5,2
TRUE,35,5+5,1721,1736,c4,Nf6,6
TRUE,53,5+5,1724,1733,Nf3,d5,4
TRUE,120,5+5,1746,1712,c4,c6,2
TRUE,41,5+5,1741,1496,c4,e6,2
TRUE,42,15+15,1295,1240,d4,d5,7
TRUE,63,15+2,1430,1302,d4,d5,5
FALSE,23,15+2,1302,1248,d4,d5,4
TRUE,32,10+0,1314,1270,d4,d5,5
FALSE,73,15+2,1445,1314,d4,d5,5
TRUE,90,15+15,1321,1451,d4,d5,7
TRUE,41,15+15,1300,1333,e4,c5,6
TRUE,43,15+2,1318,1449,d4,d5,4
TRUE,38,15+2,1450,1303,d4,Nf6,17
TRUE,41,15+2,1290,1367,d4,d5,5
TRUE,84,15+2,1300,1330,d4,d5,9
TRUE,56,15+2,1209,1291,b3,e5,5
TRUE,30,15+2,1299,1418,d4,d5,6
FALSE,6,40+20,1814,1299,e4,e5,5
TRUE,67,15+2,1348,1308,e4,e5,3
TRUE,56,15+2,1318,1366,d4,d5,5
TRUE,103,15+2,1324,1329,e4,e5,6
TRUE,40,15+2,1345,1187,d4,d5,5
TRUE,52,15+2,1352,1149,d4,d5,5
TRUE,57,15+2,1350,1429,d4,Nf6,10
TRUE,23,15+2,1403,1340,e3,e5,3
TRUE,39,15+2,1322,1072,d4,d5,5
TRUE,52,15+2,1331,1382,d4,d5,4
TRUE,41,15+2,1373,1341,d4,d5,6
TRUE,33,15+15,1350,1265,e4,e5,5
TRUE,58,15+15,1270,1299,d4,d5,3
TRUE,31,15+15,1223,1282,e4,d5,4
TRUE,15,15+15,1289,1306,e4,e5,8
TRUE,32,15+15,1007,1268,e4,e5,6
TRUE,45,10+0,1170,1179,e4,e5,5
TRUE,25,10+0,1442,1183,e4,e5,8
TRUE,15,15+15,1172,1170,e4,e5,5
TRUE,62,15+15,1178,1346,e4,c6,8
TRUE,59,15+15,1171,1190,e4,e5,9
TRUE,51,15+15,1175,1329,e4,e5,10
TRUE,22,15+15,1273,1160,d4,d5,2
TRUE,27,10+0,1154,974,e4,e5,5
TRUE,34,15+15,1167,1122,e4,e5,6
TRUE,79,10+0,1439,1171,e4,e5,10
TRUE,73,15+15,1245,1170,e4,e5,9
TRUE,74,10+0,1250,1156,g3,e5,1
TRUE,92,10+0,1164,1263,e4,e5,8
TRUE,26,15+15,1173,1251,e4,c5,5
TRUE,40,15+15,1089,1165,e4,e5,6
TRUE,77,10+0,1278,1173,e4,e5,3
TRUE,58,15+15,1178,1391,e4,e5,6
TRUE,51,15+15,1164,1293,e4,e5,10
TRUE,73,10+0,1353,1170,e4,e5,7
TRUE,50,15+15,1030,1162,d4,d5,3
TRUE,52,15+15,1176,1118,e4,e5,4
TRUE,11,15+15,1353,1181,e4,e5,4
TRUE,61,15+15,1184,1184,e4,e5,5
TRUE,19,15+15,1171,1252,e4,e5,5
TRUE,51,15+15,1157,1234,e4,e5,7
TRUE,12,15+15,1034,1149,d4,d5,4
